Total_hectares,Vegetation_type,Adult_trees,Saplings,Shrubs,Herbaceous,Leaf_litter,Fire_regime,Type_of_fire,Size,Cause,Impact_type
159.75,14,0,0,0,159.75,0,0,2,5,4,1
5.39,14,5.39,0,0,0,0,0,3,4,4,1
1470.85,14,0,0,0,1470.85,0,0,1,5,7,1
120,15,0,70,20,30,0,0,2,5,0,1
18.7,16,0,2,0,5,2,5,1,1,0,1
31.56,16,0,0,0,0,11.56,5,1,2,0,1
8.48,16,3,0,0,5.48,0,5,1,4,0,1
6.68,16,0,0,0,0,0.68,5,1,4,0,1
7.14,16,7.14,0,0,0,0,5,1,4,0,1
8.54,16,0,0,8.54,0,0,5,1,4,0,1
240,16,100,0,50,0,40,5,1,5,0,1
179.72,16,0,79.72,0,0,100,5,1,5,0,1
471.07,16,471.07,0,0,0,0,5,1,5,0,1
2,16,0,0,0,0,2,5,2,0,0,1
4.76,16,3.5,0,0,1.26,0,5,2,0,0,1
20.37,16,0,0,20.37,0,0,5,2,1,0,1
29.84,16,0,0,0,29.84,0,5,2,2,0,1
67,16,28,0,29,10,0,5,2,3,0,1
6.5,16,0,0,6.5,0,0,5,2,4,0,1
110,16,0,15,35,10,50,5,2,5,0,1
157.15,16,93.75,0,22,41.4,0,5,2,5,0,1
103.89,16,0,0,0,50,20,5,2,5,0,1
12,16,0,0,0,0,12,5,3,1,0,1
23.84,16,0,0,0,0,5.84,5,3,2,0,1
48.65,16,0,0,0,0,20,5,3,2,0,1
6.48,16,0,0,0,0,6.48,5,1,4,4,1
19.94,16,0,0,0,0,10,5,1,1,7,1
9.9,16,5,0,0,2.9,2,5,1,4,7,1
9.5,16,5,0,0,1.5,3,5,1,4,7,1
2.32,16,0,0,1,0,1.32,5,2,0,8,1
2,16,1,0,0,0,1,5,3,0,8,1
29.06,16,0,0,29.06,0,0,5,2,2,13,1
20,16,10,0,0,5,5,5,1,1,14,1
110.2,16,0,0,17,3.2,30,5,1,5,14,1
11.9,16,6,0,5.9,0,0,5,2,1,14,1
11.35,16,2,0,2,3,4.35,5,2,1,14,1
47.46,16,0,0,0,10,27.46,5,2,2,14,1
61.43,16,19.83,0,25,16.6,0,5,2,3,14,1
54,16,0,0,0,0,20,5,2,3,14,1
12.7,16,0,0,0,0,4.7,5,3,1,14,1
124,17,0,0,24,0,100,0,2,5,2,1
536,17,0,24,100,412,0,1,2,5,6,1
23,17,0,0,0,7,16,0,2,2,7,1
110,17,0,10,0,100,0,0,2,5,9,1
2,18,1,0,0,0,0,5,1,0,8,1
4,18,0,0,4,0,0,5,1,0,14,1
88,18,30,35,0,8,15,5,2,3,14,1
1271.71,19,0,1271.71,0,0,0,4,2,5,0,1
41,19,0,0,0,41,0,4,2,2,5,1
57.5,19,0,0,7.5,0,50,4,2,3,5,1
56.5,19,0,0,14.5,22,20,4,2,3,5,1
24.99,19,0,0,2.49,20,2.5,4,2,2,11,1
6.29,19,1.29,0,2,3,0,4,1,4,14,1
27.4,20,0.4,7,9,11,0,0,1,2,0,1
25,20,0.5,0,1,20,2,0,1,2,14,1
25,20,0,0,1,23,1,0,1,2,14,1
25,20,0,0,0.5,24,0.5,0,1,2,14,1
34.5,20,0,0,0.5,30,4,0,1,2,14,1
10,21,0,0,0,10,0,4,2,4,0,1
5,21,0,0,2,3,0,4,2,0,5,1
368,21,20,0,0,348,0,4,1,5,8,1
60,21,30,0,10,10,0,4,2,3,8,1
2600,21,100,0,2000,200,300,4,2,5,14,1
607.7,21,0,0,156.04,319.77,131.89,6,2,5,14,1
2,22,0,0,0,0,2,5,1,0,0,1
12,22,5,0,2,5,0,5,1,1,0,1
30,22,15,0,0,15,0,5,1,2,0,1
29.53,22,3,0,10.53,10,6,5,1,2,0,1
43.82,22,2,0.6,13,10,18.22,5,1,2,0,1
65.03,22,25,0,40.03,0,0,5,1,3,0,1
94.6,22,2.6,0,18,46,28,5,1,3,0,1
7,22,0,0,7,0,0,5,1,4,0,1
6.57,22,0.57,1,2,1,2,5,1,4,0,1
727,22,100,0,500,27,100,5,1,5,0,1
170,22,40,67,33,30,0,5,1,5,0,1
115,22,0,0,115,0,0,5,1,5,0,1
316,22,0,0,201,115,0,5,1,5,0,1
347,22,22,50,95,105,75,5,1,5,0,1
503,22,45,35,168,180,75,5,1,5,0,1
869,22,50,0,200,250,369,5,1,5,0,1
120.4,22,2.2,30,22,32,34.2,5,1,5,0,1
155,22,6,9,26,24,90,5,1,5,0,1
202.71,22,7,6,65,74.71,50,5,1,5,0,1
127.6,22,4,1.6,16,38,68,5,1,5,0,1
165.66,22,13.8,0,28.47,37.96,85.42,5,1,5,0,1
135.52,22,6,5,29.52,60,35,5,1,5,0,1
478.85,22,39.9,0,82.31,109.73,246.91,5,1,5,0,1
2.8,22,0,0,0,2.8,0,5,2,0,0,1
2,22,0,0,0,0,2,5,2,0,0,1
2,22,0,0,0,0,2,5,2,0,0,1
4.93,22,0,0,0,2,2,5,2,0,0,1
4.23,22,0,0,4.23,0,0,5,2,0,0,1
15,22,0,0,10,5,0,5,2,1,0,1
15,22,0,0,0,0,15,5,2,1,0,1
20,22,0,0,0,0,20,5,2,1,0,1
15,22,0,0,0,15,0,5,2,1,0,1
50.8,22,0,0,50.8,0,0,5,2,2,0,1
37,22,0,0,0,7,30,5,2,2,0,1
32.76,22,6.76,0,0,26,0,5,2,2,0,1
24,22,0,0,4,0,20,5,2,2,0,1
31,22,0,0,10,10,11,5,2,2,0,1
48,22,0,0,48,0,0,5,2,2,0,1
49.27,22,1.5,1,17,23,6.77,5,2,2,0,1
30,22,0,0,0,20,10,5,2,2,0,1
46.46,22,0,0,0,0,16.46,5,2,2,0,1
38.18,22,0,0,3.18,26,9,5,2,2,0,1
26.73,22,0,0,0,0,26.73,5,2,2,0,1
64.5,22,0,0,64.5,0,0,5,2,3,0,1
92,22,0,0,16,16,60,5,2,3,0,1
61,22,6,0,30,25,0,5,2,3,0,1
70,22,20,0,0,20,30,5,2,3,0,1
60.01,22,0,0,6,51,3.01,5,2,3,0,1
69.35,22,0,0,0,39.35,30,5,2,3,0,1
97,22,0,0,0,21,28,5,2,3,0,1
66.73,22,0,0,17,25,24.73,5,2,3,0,1
54.2,22,0,0,17.2,22,15,5,2,3,0,1
56.5,22,0,0,10,20,26.5,5,2,3,0,1
6,22,0,0,4,0,2,5,2,4,0,1
5.76,22,0,0,0,1.76,0,5,2,4,0,1
6.72,22,0,0,0,6,0.72,5,2,4,0,1
6.35,22,0,0,1.35,3,2,5,2,4,0,1
350,22,5,8,67,115,105,5,2,5,0,1
620,22,20,30,350,220,0,5,2,5,0,1
120,22,0,0,56,44,20,5,2,5,0,1
421,22,0,0,350,60,11,5,2,5,0,1
6164.33,22,164.33,0,3000,2000,1000,5,2,5,0,1
257,22,0,0,185,72,0,5,2,5,0,1
105.8,22,0,0,60,0,45.8,5,2,5,0,1
141.08,22,0,0,60,81.08,0,5,2,5,0,1
495,22,0,0,383,112,0,5,2,5,0,1
333,22,0,0,0,200,100,5,2,5,0,1
151,22,0,0,0,46,25,5,2,5,0,1
228,22,0,0,0,53,60,5,2,5,0,1
306,22,0,0,0,150,36,5,2,5,0,1
113,22,0,0,0,33,20,5,2,5,0,1
147.27,22,0,0,46,66.27,35,5,2,5,0,1
371.54,22,0,0,75,200,96.54,5,2,5,0,1
165.67,22,0,0,100,65.67,0,5,2,5,0,1
139.9,22,0,0,25,25,89.9,5,2,5,0,1
633.92,22,0,0,633.92,0,0,5,2,5,0,1
103.7,22,0,0,7,13,83.7,5,2,5,0,1
1.4,22,0,0,0,0,1.4,5,3,0,0,1
5.82,22,0,0,0.58,2.33,2.91,5,1,0,1,1
16.12,22,0,0,4.84,11.28,0,5,1,1,1,1
1,22,0,0,1,0,0,5,2,0,1,1
5.49,22,0,0,1.04,2.7,1.75,5,2,0,1,1
131,22,0,0,0,55,40,5,2,5,1,1
1358.8,22,0,0,1128.53,140.13,90.15,5,2,5,1,1
70,22,0,0,65,5,0,5,1,3,4,1
85.87,22,0,0,0,85.87,0,5,1,3,4,1
60.61,22,0,0,4.65,36.63,19.33,5,1,3,4,1
141,22,20,0,121,0,0,5,1,5,4,1
325,22,15,0,310,0,0,5,1,5,4,1
4,22,0,0,0,0,3,5,2,0,4,1
5,22,0,0,0,0,5,5,2,0,4,1
40,22,0,0,30,0,10,5,2,2,4,1
25,22,2,0,0,0,20,5,2,2,4,1
20.07,22,4,4,8,4.07,0,5,2,2,4,1
28.53,22,0,0,0,0,28.53,5,2,2,4,1
44.2,22,0,0,0,0,44.2,5,2,2,4,1
90,22,0,0,35,30,15,5,2,3,4,1
51,22,0,0,36,0,15,5,2,3,4,1
82.48,22,0,0,0.77,40.85,40.85,5,2,3,4,1
71.08,22,0,0,71.08,0,0,5,2,3,4,1
9,22,0,0,9,0,0,5,2,4,4,1
406,22,0,0,406,0,0,5,2,5,4,1
477,22,0,18,192,168,99,5,2,5,4,1
412.62,22,0,0,0,300,112.62,5,2,5,4,1
366.53,22,0,0,42.97,217.98,105.59,5,2,5,4,1
159.17,22,5,31,30.17,53,40,5,2,5,4,1
100,22,30,40,20,10,0,5,1,3,5,1
54.52,22,10,0,12,15,17.52,5,1,3,5,1
110,22,14,10,71,15,0,5,1,5,5,1
443.1,22,0,0,243.1,200,0,5,1,5,5,1
495,22,50,50,90,150,155,5,1,5,5,1
558.32,22,36.32,120,100,82,220,5,1,5,5,1
118.89,22,8.49,10,30.4,25,45,5,1,5,5,1
5,22,0,0,3,0,2,5,2,0,5,1
4,22,0,0,4,0,0,5,2,0,5,1
1,22,0,0,0,1,0,5,2,0,5,1
1.46,22,0,0,0,1.46,0,5,2,0,5,1
12,22,0,0,12,0,0,5,2,1,5,1
20,22,0,0,0,0,20,5,2,1,5,1
12,22,0,0,2,0,10,5,2,1,5,1
45.3,22,0,0,0,0,45.3,5,2,2,5,1
45.61,22,0,0,15.61,10,20,5,2,2,5,1
70.86,22,0,10,10,40,10.86,5,2,3,5,1
10,22,0,0,10,0,0,5,2,4,5,1
600,22,0,0,150,400,50,5,2,5,5,1
620,22,62,93,124,186,124,5,2,5,5,1
100,22,0,0,0,0,100,5,2,5,5,1
313,22,0,0,0,100,113,5,2,5,5,1
1.31,22,0,0,0.5,0.6,0.21,5,1,0,6,1
727.62,22,18,3,153.62,153,400,5,1,5,6,1
129.32,22,5,0,82,42.32,0,5,1,5,6,1
186.57,22,0,6,57.57,123,0,5,1,5,6,1
14.1,22,0,4.1,10,0,0,5,2,1,6,1
16.62,22,0,0,0,6,10.62,5,2,1,6,1
22.66,22,0,0,0,15,7.66,5,2,2,6,1
207.3,22,0,0,50,78.3,79,5,2,5,6,1
115.5,22,0,0,15.5,100,0,5,1,5,7,1
205,22,70,0,15,0,120,5,1,5,7,1
5,22,0,0,1,0,4,5,2,0,7,1
4,22,0,0,0,4,0,5,2,0,7,1
20,22,0,0,0,0,20,5,2,1,7,1
17.7,22,0,0,0,8.7,9,5,2,1,7,1
18.9,22,0,0,0,0.9,16,5,2,1,7,1
37,22,0,0,0,0,37,5,2,2,7,1
48,22,0,0,8,20,20,5,2,2,7,1
32,22,0,0,5,12,15,5,2,2,7,1
25,22,0,0,0,15,10,5,2,2,7,1
27.66,22,0,0,0,6,21.66,5,2,2,7,1
64.35,22,0,0,14.35,20,30,5,2,3,7,1
79.5,22,0,0,0,0,79.5,5,2,3,7,1
86.66,22,0,0,6,10.66,70,5,2,3,7,1
8,22,0,0,2,0,6,5,2,4,7,1
287.2,22,0,0,37.2,250,0,5,2,5,7,1
125.42,22,0,0,25.42,40,60,5,2,5,7,1
539.52,22,0,0,120,130,289.52,5,2,5,7,1
3.5,1,0.5,0,3,0,0,5,2,0,7,2
21538,2,285,0,12755,8498,0,0,1,5,14,2
217.9,3,84.6,0,123.3,0,10,5,1,5,5,2
30,3,0,5,20,5,0,5,2,2,13,2
2.21,5,0,0,0.12,2.09,0,4,1,0,14,2
10,8,0.5,0,6.5,3,0,4,0,4,5,2
6,8,1,0,2,3,0,4,0,4,5,2
3.79,8,1.18,0,1.11,1.51,0,5,1,0,11,2
78.5,8,5.5,0,17.3,55.7,0,4,1,3,14,2
232.58,9,0,0,0,232.58,0,4,2,5,14,2
194.4,9,0,0,0,194.4,0,4,2,5,14,2
12.66,16,12.66,0,0,0,0,5,1,1,0,2
38.99,16,2.33,0,8.98,0,27.68,5,1,2,0,2
201.26,16,25,5,50,55,66.26,5,1,5,0,2
252.41,16,22.41,10,120,40,60,5,1,5,0,2
13.75,16,7,0,6.75,0,0,5,2,1,0,2
116.11,16,7.11,0,0,19,90,5,2,5,0,2
3,16,2,0,0,0,0,5,3,0,0,2
5,16,0,4,0,0,0,5,3,0,0,2
2,16,1,0,0,0,0,5,3,0,0,2
3,16,2,0,0,0,0,5,3,0,0,2
1.68,16,0.68,0,0,0,1,5,3,0,0,2
1.96,16,0.96,0,0,1,0,5,3,0,0,2
2.31,16,1,0,0,1.31,0,5,3,0,0,2
20,16,0,0,0,5,0,5,3,1,0,2
20,16,15,0,0,0,3,5,3,1,0,2
12.06,16,0,3.85,7.94,0.27,0,5,2,1,4,2
25.43,16,0,0,23.09,2.34,0,5,2,2,4,2
5.47,16,2.08,0,3.39,0,0,5,2,4,4,2
6.37,16,0,6.37,0,0,0,5,2,4,4,2
7.52,16,0,2.36,0,5.16,0,5,2,4,4,2
309.15,16,0,0,0,159.15,150,5,1,5,6,2
5,16,4,0,0,0,0,5,3,0,7,2
5.48,16,5.48,0,0,0,0,5,1,0,8,2
4.08,16,2,0,0,0,2.08,5,3,0,8,2
2.32,16,2.32,0,0,0,0,5,3,0,8,2
1.51,16,1.51,0,0,0,0,5,3,0,8,2
88.6,16,0,0,88.6,0,0,5,2,3,14,2
4.4,16,0,2,0,0,0,5,3,0,14,2
2.08,18,1,0,0,0,1.08,5,3,0,0,2
300,20,0,0,10,280,10,0,1,5,11,2
11.2,22,0,1.7,1,1.5,1,5,1,1,0,2
9.96,22,0,0,0,0,9.96,5,1,4,0,2
15,22,5,0,2,8,0,5,2,1,0,2
128.5,22,0,0,64,64.5,0,5,2,5,0,2
3191,22,0,0,0,759,1300,5,2,5,1,2
73.6,22,0,73.6,0,0,0,5,2,3,2,2
7,22,7,0,0,0,0,5,1,4,4,2
294.5,22,277.5,0,15,2,0,5,1,5,4,2
680,22,280,70,300,30,0,5,2,5,4,2
938.5,22,0,98,340.5,300,200,5,2,5,4,2
31,22,0,31,0,0,0,5,2,2,5,2
296,22,0,0,296,0,0,5,2,5,5,2
615.79,22,0,0,100,0,515.79,5,2,5,10,2
3.52,22,0,0,0,2,1.52,5,2,0,14,2
30.71,22,0,0,12.6,11.1,7,5,2,2,14,2
307.67,22,0,0,27.67,130,150,5,2,5,14,2
484.46,22,0,5,0,37.46,142,5,2,5,14,2
222.17,22,0,0,0,15.17,82,5,2,5,14,2
494,22,0,0,93,106,123,5,2,5,14,2
730.3,22,0,0,0,730.3,0,5,2,5,14,2
5,23,0,5,0,0,0,5,1,0,4,2
2,23,2,0,0,0,0,5,1,0,4,2
4,23,0,0,0,4,0,5,1,0,7,2
2,24,0,0,2,0,0,5,1,0,0,2
105.98,24,0,0,0,105.98,0,5,1,5,7,2
65.21,27,13.04,0,52.17,0,0,6,2,3,4,2
50.51,27,0,0,0,50.51,0,5,3,3,7,2
16.1,27,0,0,0,16.1,0,5,2,1,14,2
284,28,33,0,251,0,0,5,1,5,4,2
1.02,29,1.02,0,0,0,0,5,1,0,4,2
17,29,6,1,0,10,0,5,1,1,4,2
7,29,2,0,0,5,0,5,1,4,4,2
40.48,29,0,40.48,0,0,0,5,2,2,4,2
1.13,29,1.13,0,0,0,0,6,3,0,4,2
4.5,29,1.5,0,0,3,0,5,1,0,14,2
278,29,40,108,30,25,20,5,1,5,14,2
35,29,5,5,5,5,5,5,2,2,14,2
604.35,33,120.87,0,302.17,181.31,0,4,1,5,7,2
53.8,34,0,0,0,23,30.8,5,1,3,0,2
98.8,34,0.4,20.4,1,77,0,5,1,3,4,2
102,34,20,0,62,0,20,5,1,5,4,2
37.7,34,0,0,0,37.7,0,5,2,2,14,2
14.3,35,0,5,0,0,0,5,1,1,0,2
3.11,35,0,2,0,0,0,5,3,0,0,2
1.76,35,0,0.76,0,0,0,5,3,0,0,2
20,35,15,0,0,0,0,5,3,1,0,2
30,35,0,0,0,0,0,5,3,2,0,2
78.03,36,0,0,78.03,0,0,3,2,3,0,2
207.3,36,0,0,20,153,34.3,3,2,5,0,2
13,36,13,0,0,0,0,5,1,1,4,2
707.26,36,0,0,250,200,257.26,5,2,5,5,2
411.5,36,130,0,281.5,0,0,5,1,5,7,2
1333,36,350,50,200,200,500,5,1,5,7,2
209,36,0,0,0,53,54,5,2,5,7,2
500,36,0,0,30,450,20,5,1,5,11,2
5165,36,4893,0,257,0,15,5,1,5,14,2
1047.5,36,60,408,60,60,429.5,5,1,5,14,2
567.52,36,9.78,0,259.53,0,298.22,5,1,5,14,2
53.52,36,0,0,0,53.52,0,5,2,3,14,2
1.83,37,0.83,0,0,0,1,3,3,0,0,2
10,37,5.5,0,4.5,0,0,5,1,4,0,2
16.72,37,0,16.72,0,0,0,5,2,1,0,2
10.18,37,0,10.18,0,0,0,5,2,1,0,2
6.5,37,6.5,0,0,0,0,5,2,4,0,2
24.15,37,0,2.07,0,8.05,14.03,5,2,2,4,2
3999.94,37,0,0,3180.72,819.22,0,5,2,5,4,2
873.28,37,0,10,0,73.28,300,5,1,5,5,2
2599.4,37,2599.4,0,0,0,0,3,2,5,6,2
456,37,399,27,30,0,0,5,1,5,14,2
1800,37,540,360,360,450,90,5,2,5,14,2
4.03,38,4.03,0,0,0,0,5,1,0,8,2
3.03,38,3.03,0,0,0,0,5,1,0,8,2
301.52,39,67.07,53.08,100,0,81.37,0,1,5,5,2
482.64,39,0,0,0,482.64,0,0,2,5,14,2
3,40,3,0,0,0,0,0,1,0,0,2
1,40,1,0,0,0,0,0,1,0,4,2
1,40,1,0,0,0,0,0,1,0,4,2
50.5,40,0.5,0,0,50,0,0,1,2,4,2
80.42,40,77.42,0,0,3,0,0,1,3,13,2
7,41,1,0,2,4,0,0,0,4,0,2
91.92,41,34.72,20,25,7.1,5.1,0,1,3,0,2
9,41,4,0,5,0,0,0,1,4,0,2
259.32,41,14,0,26,120.32,98,0,1,5,0,2
2194.92,41,115,250,725,69.92,1035,0,1,5,0,2
9019,41,306,328,2077,2483,3825,0,1,5,0,2
950.95,41,2.08,0,214.79,285.7,448.38,0,1,5,0,2
548.5,41,0,27.5,0,86,260,0,1,5,0,2
346,41,0,100,30,181,35,0,1,5,0,2
363.35,41,0,55,10,150,125,0,1,5,0,2
40,41,0,0,40,0,0,0,2,2,0,2
90,41,0,0,40,50,0,0,2,3,0,2
9.5,41,1.5,0,8,0,0,0,2,4,0,2
230,41,0,0,15,0,215,0,2,5,0,2
744.71,41,256.27,0,341.69,68.34,78.41,1,1,5,0,2
790.53,41,35.16,0,0,70.2,685.18,1,1,5,0,2
933.75,41,40,60,203,350,280.75,1,1,5,0,2
114.34,41,0,0,49.34,65,0,1,2,5,0,2
55.13,41,4.41,0,7,7,36.72,0,1,3,1,2
986,41,0,0,400,236,350,0,1,5,1,2
701.34,41,32,2.34,112,405,100,0,1,5,1,2
336.3,41,4.96,0,70.57,103.65,157.13,0,1,5,1,2
3,41,1,2,0,0,0,0,2,0,1,2
5,41,0,2,3,0,0,0,2,0,1,2
42,41,0,0,0,0,42,0,1,2,4,2
3,41,3,0,0,0,0,0,0,0,5,2
60,41,3.6,0,20.4,36,0,0,1,3,5,2
378.8,41,0,0,110.8,218,50,0,1,5,5,2
157,41,7,15,100,35,0,0,1,5,5,2
148,41,8,10,100,30,0,0,1,5,5,2
200,41,10,10,60,0,120,0,1,5,5,2
1341.66,41,0,268.33,50,0,84.17,0,1,5,5,2
11,41,2,0,9,0,0,0,2,1,5,2
35,41,15,0,0,0,20,0,2,2,5,2
35,41,10,0,10,15,0,0,2,2,5,2
84,41,0,14,70,0,0,0,2,3,5,2
75,41,0,0,5,55,15,0,2,3,5,2
113,41,30,0,28,35,20,0,2,5,5,2
391,41,0,120,150,121,0,0,2,5,5,2
670,41,0,0,70,100,200,0,2,5,5,2
15000,41,0,0,1100,4500,4300,0,2,5,5,2
4105,41,0,0,800,978,1200,0,2,5,5,2
1541,41,0,0,0,411,510,0,2,5,5,2
6491,41,0,0,1590,1870,1331,0,2,5,5,2
1090,41,0,0,30,200,340,0,2,5,5,2
2819.75,41,278.75,0,1541,500,500,1,1,5,6,2
998.38,41,30,72.38,230,200,466,1,1,5,6,2
1,41,1,0,0,0,0,0,0,0,7,2
19102.32,41,172.13,1226.05,6273.02,7337.11,4094.01,0,1,5,7,2
12.64,41,0,0,10,2.64,0,0,2,1,7,2
158,41,125,0,23,10,0,0,1,5,8,2
190,41,0,0,20,30,140,0,2,5,8,2
151.71,41,16.86,0,21.99,37.38,75.49,0,1,5,9,2
58.7,41,0,0,38.64,8.6,11.46,0,1,3,11,2
163.15,41,9.05,0,9.05,18.13,126.91,0,1,5,13,2
758.24,41,152,0,151.24,0,455,0,1,5,14,2
15905.59,41,3000,0,2636.79,3200,7068.8,0,1,5,14,2
211,41,10,0,101,100,0,0,1,5,14,2
758.89,41,94.86,94.86,0,379.45,189.72,0,2,5,14,2
2025,41,0,0,0,800,425,0,2,5,14,2
574.39,41,0,50,70,184.39,170,0,2,5,14,2
761,41,160,86,170,120,225,1,1,5,14,2
12.27,41,0,0,0,0,12.27,1,2,1,14,2
4535,41,0,0,0,4535,0,1,2,5,14,2
636.2,41,0,0,300,336.2,0,1,2,5,14,2
300,42,12,28,190,70,0,0,0,5,0,2
20,42,0,0,0,9,11,0,1,1,0,2
23.3,42,10,0,0,13.3,0,0,1,2,0,2
531.89,42,46.89,0,150,300,25,0,1,5,0,2
725,42,50,70,485,120,0,0,1,5,0,2
1373,42,135,210,328,700,0,0,1,5,0,2
150,42,100,20,30,0,0,0,1,5,0,2
146.98,42,0,25,15,35,46.98,0,1,5,0,2
3,42,1.5,1.5,0,0,0,0,2,0,0,2
281.5,42,0,0,0,131.5,150,0,2,5,0,2
310,42,0,4,6,150,150,0,2,5,0,2
122.81,42,13,15,22,40,32.81,1,1,5,1,2
25,42,4,0,8,9,4,0,1,2,5,2
96.13,42,24.31,36.12,25.4,6.5,3.8,0,1,3,5,2
152.7,42,0,20,15,30,20.7,0,1,5,5,2
172.21,42,0,2,15,13,62.21,0,1,5,5,2
5,42,0,0,5,0,0,0,2,0,5,2
0.5,42,0,0,0,0,0.5,0,2,0,5,2
2.14,42,0,0,1.14,0,1,0,2,0,5,2
34,42,0,0,0,0,34,0,2,2,5,2
30,42,0,0,0,0,30,0,2,2,5,2
67.3,42,10,10,10,24.3,13,0,2,3,5,2
8,42,0,0,0,0,8,0,2,4,5,2
4388.66,42,337.98,502.12,291.36,989.4,2267.79,1,1,5,6,2
60,42,20,40,0,0,0,0,1,3,7,2
517,42,75,40,150,252,0,0,1,5,7,2
193.5,42,0,0,0,100,93.5,0,2,5,7,2
160,42,0,0,0,60,100,0,2,5,7,2
2679.26,42,105,85,1489,1000.26,0,3,2,5,8,2
725,42,525,150,0,50,0,1,2,5,9,2
800,42,100,100,200,300,100,0,1,5,11,2
1,42,0,0.25,0.25,0,0.5,0,2,0,13,2
89,42,38,29,0,22,0,0,0,3,14,2
43,42,18,25,0,0,0,0,1,2,14,2
70.89,42,20,0,0,20,30.89,0,1,3,14,2
82.51,42,0,0,0,49.48,33.03,0,2,3,14,2
9.16,42,0,0,0,8.24,0,0,2,4,14,2
1005,42,0,0,171,300,284,0,2,5,14,2
3200,42,0,0,649,800,574,0,2,5,14,2
523,42,0,60,200,140,123,0,2,5,14,2
2544.8,42,0,50,100,715,700,0,2,5,14,2
8248,42,0,0,50,2000,3000,0,2,5,14,2
36.79,42,18,0,4,7,7.79,1,1,2,14,2
40,44,0,10,10,20,0,5,2,2,0,2
33.58,44,5,3,7,0,18.58,5,1,2,5,2
139,44,0,12,0,23,104,5,1,5,5,2
12,44,0,4,0,8,0,5,2,1,5,2
105,44,0,0,105,0,0,5,2,5,5,2
10,44,2,3,5,0,0,5,1,4,7,2
2,44,0,2,0,0,0,5,2,0,7,2
41,46,10,15,0,16,0,0,1,2,0,2
60,46,0,0,0,60,0,0,1,3,0,2
90,46,10,0,30,0,50,0,1,3,0,2
8,46,3,5,0,0,0,0,1,4,0,2
128.01,46,15,5.01,70,38,0,0,1,5,0,2
195.31,46,70,50,0,0,75.31,0,1,5,0,2
20,46,0,3,17,0,0,0,2,1,0,2
58,46,0,18,40,0,0,0,2,3,0,2
97.5,46,10,5,20,62.5,0,0,2,3,0,2
10,46,0,1,9,0,0,0,2,4,0,2
142.23,46,10,40,20,72.23,0,0,2,5,0,2
347.77,46,0,47.77,100,200,0,1,2,5,0,2
11920.27,46,769.37,50,5847.4,3581.5,1000,0,1,5,1,2
10070.38,46,800,700,3200,2750,2620.38,0,1,5,1,2
11,46,0,0,0,11,0,0,2,1,1,2
35,46,0,0,0,35,0,0,2,2,1,2
40,46,0,0,30,10,0,0,2,2,1,2
279,46,0,0,0,279,0,0,2,5,1,2
2.39,46,0,0,0,0,2.39,1,2,0,4,2
24,46,3,4,8,9,0,0,1,2,5,2
45,46,44,1,0,0,0,0,1,2,5,2
82,46,3,15,50,14,0,0,1,3,5,2
150,46,31,33,86,0,0,0,1,5,5,2
171,46,25,40,30,61,0,0,1,5,5,2
2712.23,46,250,110,770,1020,530,0,1,5,5,2
466.45,46,10,5,220,206.45,25,0,1,5,5,2
11824.55,46,100,0,6824.55,4900,0,0,1,5,5,2
428,46,40,200,0,188,0,0,1,5,5,2
132.7,46,20,5,45,47.7,15,0,1,5,5,2
700,46,1,5,0,694,0,0,1,5,5,2
260,46,40,100,0,120,0,0,1,5,5,2
1563.29,46,174.29,450,550,190,199,0,1,5,5,2
684.91,46,175,110,155,125,119.91,0,1,5,5,2
765,46,20,0,250,495,0,0,1,5,5,2
451,46,70,140,0,241,0,0,1,5,5,2
4918,46,700,1200,2300,400,318,0,1,5,5,2
509.48,46,0,94,65,132,123,0,1,5,5,2
1010,46,0,250,230,260,150,0,1,5,5,2
9401.3,46,0,572,1275,2487.68,2590,0,1,5,5,2
654,46,0,392,130,64,40,0,1,5,5,2
2,46,2,0,0,0,0,0,2,0,5,2
20,46,0,0,10,10,0,0,2,1,5,2
20,46,0,4,16,0,0,0,2,1,5,2
10,46,0,2,5,3,0,0,2,4,5,2
120,46,35,15,20,10,40,0,2,5,5,2
153,46,0,0,33,60,60,0,2,5,5,2
264.12,46,50,40,44.12,50,80,1,1,5,6,2
240.85,46,78.39,100.85,61.62,0,0,1,1,5,6,2
15,46,0,0,10,5,0,0,2,1,7,2
20,46,0,15,5,0,0,0,2,1,7,2
12,46,0,4,0,8,0,0,2,1,7,2
80,46,0,0,80,0,0,0,2,3,7,2
6,46,0,0,6,0,0,0,2,4,7,2
1644.31,46,0,0,250,800,594.31,0,2,5,7,2
202,46,0,10,25,77,90,0,2,5,7,2
560.83,46,0,200,0,360.83,0,1,2,5,7,2
1619,46,109,0,710,800,0,0,1,5,8,2
198,46,49.5,49.5,0,0,99,0,2,5,8,2
2668.03,46,400,150,900,600,618.03,1,1,5,8,2
800,46,200,100,350,100,50,0,1,5,9,2
1,46,0,1,0,0,0,0,2,0,9,2
20,46,0,0,20,0,0,0,2,1,9,2
15,46,0,4,7,4,0,0,2,1,9,2
7,46,0,3,4,0,0,0,2,4,9,2
50,46,2,25,15,8,0,0,1,2,11,2
2,46,0,1,1,0,0,0,2,0,11,2
350,46,50,0,200,100,0,0,1,5,12,2
126,46,64,36,12,14,0,0,1,5,13,2
